Name,Column,Type,Tech,T1,T2,T3,pfee
Griffin,2,Frigate,4,"1,868,985","1,682,110","1,512,898","312,400"
Bantam,3,Frigate,5,"6,301,664","5,490,198","4,755,425","424,000"
Bantam II,4,Frigate,6,"22,676,833","19,807,913","17,210,141","1,400,500"
Condor II,5,Frigate,4,"1,849,954","1,665,201","1,497,909","308,800"
Condor Interceptor,6,Frigate,8,"67,327,946","58,500,113","50,506,759","1,964,200"
Condor II Interceptor,7,Frigate,10,"251,187,420","218,406,992","188,725,323","7,041,600"
Merlin Assault,8,Frigate,7,"49,269,460","42,718,816","36,787,287","1,763,300"
Manticore,9,Frigate,6,"23,296,328","20,339,323","17,661,791","1,443,500"
Manticore II,10,Frigate,9,"112,926,347","98,563,206","85,557,795","5,081,900"
Heron Covert Ops,11,Frigate,5,"7,290,002","6,353,184","5,504,906","489,400"
Vigil,12,Frigate,4,"1,888,581","1,701,214","1,531,555","322,700"
Burst,13,Frigate,5,"5,976,777","5,206,983","4,509,944","415,000"
Burst II,14,Frigate,6,"22,020,697","19,254,424","16,749,597","1,391,400"
Slasher II,15,Frigate,4,"1,831,188","1,650,207","1,486,331","311,800"
Slasher Interceptor,16,Frigate,8,"62,522,764","54,363,219","46,974,970","1,884,500"
Slasher II Interceptor,17,Frigate,10,"266,712,935","232,221,454","200,990,563","6,934,500"
Breacher Assault,18,Frigate,7,"47,495,631","41,221,383","35,540,129","1,734,400"
Hound,19,Frigate,6,"21,168,341","18,522,869","16,127,427","1,330,700"
Hound II,20,Frigate,9,"109,836,959","95,834,694","83,156,094","4,561,200"
Probe Covert Ops,21,Frigate,5,"6,859,174","5,979,413","5,182,801","474,300"
Crucifier,22,Frigate,4,"2,032,053","1,817,856","1,623,903","307,600"
Inquisitor,23,Frigate,5,"6,920,261","6,006,946","5,179,949","412,800"
Inquisitor II,24,Frigate,6,"25,827,739","22,460,961","19,412,385","1,425,000"
Executioner II,25,Frigate,4,"2,053,068","1,836,407","1,640,223","311,100"
Executioner Interceptor,26,Frigate,8,"74,213,039","64,278,568","55,283,187","1,944,300"
Executioner II Interceptor,27,Frigate,10,"283,885,042","245,800,992","211,316,935","6,761,400"
Punisher Assault,28,Frigate,7,"60,619,302","52,370,814","44,901,910","1,911,900"
Purifier,29,Frigate,6,"24,735,468","21,526,287","18,620,412","1,358,100"
Purifier II,30,Frigate,9,"110,201,351","96,166,579","83,458,565","4,661,400"
Magnate Covert Ops,31,Frigate,5,"7,660,480","6,648,225","5,731,641","457,600"
Maulus,32,Frigate,4,"1,768,672","1,594,101","1,436,029","297,800"
Navitas,33,Frigate,5,"6,277,027","5,471,093","4,741,331","430,200"
Navitas II,34,Frigate,6,"21,906,765","19,153,718","16,660,866","1,371,900"
Atron II,35,Frigate,4,"1,768,672","1,594,101","1,436,029","297,800"
Atron Interceptor,36,Frigate,8,"65,023,063","56,554,146","48,885,778","1,925,900"
Atron II Interceptor,37,Frigate,10,"268,261,054","232,664,558","200,432,968","6,713,200"
Incursus Assault,38,Frigate,7,"49,287,648","42,742,844","36,816,604","1,797,400"
Nemesis,39,Frigate,6,"22,429,113","19,601,984","17,042,053","1,408,900"
Nemesis II,40,Frigate,9,"120,635,368","104,939,890","90,728,046","4,696,800"
Imicus Covert Ops,41,Frigate,5,"7,401,465","6,451,380","5,591,090","507,200"
Worm,42,Frigate,6,"514,119,331","443,201,180","378,985,659","9,902,200"
Dramiel,43,Frigate,6,"500,464,196","431,734,126","369,499,885","9,914,900"
Cruor,44,Frigate,6,"557,894,378","479,862,752","409,206,067","9,475,600"
Astero,45,Frigate,6,"506,325,612","436,691,202","373,638,092","10,045,400"
Garmur,46,Frigate,6,"501,889,689","432,860,588","370,355,580","9,638,400"
Succubus,47,Frigate,6,"567,664,875","488,117,211","416,087,770","9,659,700"
Daredevil,48,Frigate,6,"503,609,573","434,361,205","371,657,653","9,856,300"
Cormorant Guardian,49,Destroyer,5,"10,202,251","8,882,793","7,688,041","689,400"
Corax,50,Destroyer,4,"2,860,288","2,573,606","2,314,019","479,200"
Cormorant II,51,Destroyer,4,"2,715,375","2,439,312","2,189,340","461,400"
Cormorant Navy Issue,52,Destroyer,5,"10,108,394","8,802,131","7,619,327","682,300"
Corax Assault,53,Destroyer,7,"78,116,221","67,687,776","58,244,947","2,767,500"
Corax Sniper,54,Destroyer,6,"33,011,791","28,809,065","25,003,548","2,023,200"
Cormorant Covert Ops,55,Destroyer,10,"371,817,038","323,742,745","280,212,951","10,181,200"
Thrasher Guardian,56,Destroyer,5,"10,472,535","9,127,018","7,908,669","725,200"
Talwar,57,Destroyer,4,"2,687,030","2,416,631","2,171,788","465,800"
Thrasher II,58,Destroyer,4,"2,802,003","2,518,829","2,262,417","487,700"
Thrasher Fleet Issue,59,Destroyer,5,"10,844,513","9,453,716","8,194,365","749,500"
Talwar Assault,60,Destroyer,7,"65,137,215","56,518,049","48,713,498","2,349,100"
Talwar Sniper,61,Destroyer,6,"31,671,084","27,672,684","24,052,182","1,983,500"
Thrasher Covert Ops,62,Destroyer,10,"392,225,930","340,885,827","294,399,069","10,176,500"
Coercer Guardian,63,Destroyer,5,"11,782,681","10,222,434","8,809,650","705,300"
Dragoon,64,Destroyer,4,"2,860,709","2,555,414","2,278,973","438,100"
Coercer II,65,Destroyer,4,"2,924,019","2,611,340","2,328,213","448,800"
Coercer Navy Issue,66,Destroyer,5,"11,729,485","10,176,852","8,770,961","701,800"
Dragoon Assault,67,Destroyer,7,"87,805,339","75,819,271","64,966,033","2,738,800"
Dragoon Sniper,68,Destroyer,6,"38,692,021","33,606,042","29,000,750","2,122,900"
Coercer Covert Ops,69,Destroyer,10,"424,533,440","367,953,265","316,721,475","9,903,900"
Catalyst Guardian,70,Destroyer,5,"10,255,000","8,931,439","7,732,971","706,300"
Algos,71,Destroyer,4,"2,782,395","2,500,562","2,245,365","480,700"
Catalyst II,72,Destroyer,4,"2,630,899","2,365,889","2,125,925","451,800"
Catalyst Navy Issue,73,Destroyer,5,"10,351,571","9,021,457","7,817,055","709,800"
Algos Assault,74,Destroyer,7,"75,052,676","65,096,000","56,080,352","2,695,800"
Algos Sniper,75,Destroyer,6,"34,954,104","30,485,026","26,438,331","2,196,300"
Catalyst Covert Ops,76,Destroyer,10,"407,351,203","352,782,611","303,372,342","10,146,200"
Moa Guardian,77,Cruiser,7,"159,797,910","138,875,309","119,930,148","5,631,500"
Moa II Guardian,78,Cruiser,8,"210,190,468","182,918,817","158,225,105","6,067,400"
Blackbird,79,Cruiser,6,"65,525,610","57,132,767","49,533,150","4,096,800"
Osprey,80,Cruiser,7,"155,991,952","135,638,967","117,209,587","5,478,200"
Caracal,81,Cruiser,5,"21,545,411","18,787,757","16,290,736","1,440,400"
Moa,82,Cruiser,6,"66,056,203","57,587,856","49,919,872","4,133,400"
Caracal Navy Issue,83,Cruiser,6,"67,618,087","58,998,751","51,194,047","4,207,100"
Caracal Sniper,84,Cruiser,8,"201,337,381","175,405,662","151,925,221","5,769,400"
Blackbird Covert Ops,85,Cruiser,7,"157,602,249","137,008,269","118,360,672","5,543,100"
Blackbird II Covert Ops,86,Cruiser,9,"331,737,910","289,681,153","251,599,967","14,880,000"
Rupture Guardian,87,Cruiser,7,"145,986,265","127,163,546","110,119,804","5,202,900"
Rupture II Guardian,88,Cruiser,8,"202,102,343","176,108,039","152,570,897","6,003,000"
Bellicose,89,Cruiser,6,"66,072,793","57,701,525","50,121,444","4,210,300"
Scythe,90,Cruiser,7,"152,773,466","132,936,722","114,974,791","5,483,200"
Stabber,91,Cruiser,5,"20,638,179","18,018,318","15,646,065","1,411,700"
Stabber Fleet Issue,92,Cruiser,6,"68,788,963","60,103,625","52,239,158","4,368,200"
Rupture,93,Cruiser,6,"62,930,344","54,933,549","47,692,549","4,022,000"
Stabber Sniper,94,Cruiser,8,"198,757,410","173,268,342","150,188,678","5,886,400"
Bellicose Covert Ops,95,Cruiser,7,"150,652,753","131,132,896","113,457,902","5,395,800"
Bellicose II Covert Ops,96,Cruiser,9,"335,244,454","292,391,052","253,588,678","13,959,100"
Maller Guardian,97,Cruiser,7,"173,786,140","150,561,527","129,531,924","5,382,500"
Maller II Guardian,98,Cruiser,8,"211,995,393","183,508,629","157,714,672","5,574,700"
Arbitrator,99,Cruiser,6,"74,400,982","64,673,160","55,864,736","4,116,600"
Augoror,100,Cruiser,7,"183,685,630","158,965,987","136,582,651","5,728,900"
Omen,101,Cruiser,5,"24,879,329","21,599,025","18,628,751","1,482,400"
Maller,102,Cruiser,6,"75,989,259","66,032,203","57,016,210","4,213,600"
Omen Navy Issue,103,Cruiser,6,"75,989,259","66,032,203","57,016,210","4,213,600"
Omen Sniper,104,Cruiser,8,"225,834,615","196,001,311","168,988,100","5,838,300"
Arbitrator Covert Ops,105,Cruiser,7,"171,567,148","148,677,636","127,951,462","5,304,800"
Arbitrator II Covert Ops,106,Cruiser,9,"343,635,211","299,609,700","259,746,078","14,621,800"
