Ship,Pup,Pack,Dire,Planetary
Griffin,521878,478961,457502,1562000
Bantam,4095352,3622638,3386282,2120000
Bantam II,19340555,17095148,15972444,7002500
Condor II,518225,475795,454580,1544000
Condor Interceptor,64355688,56974930,53284550,9821000
Condor II Interceptor,277538306,245199865,229030645,35208000
Merlin Assault,41494594,36695314,34295675,8816500
Manticore,19858154,17543734,16386523,7217500
Manticore II,112939333,99880756,93351467,25409500
Heron Covert Ops,4742270,4196634,3923816,2447000
Vigil,508426,467303,446741,1613500
Burst,4266434,3764243,3513147,2075000
Burst II,21253660,18753172,17502928,6957000
Slasher II,497920,458197,438336,1559000
Slasher Interceptor,67289650,59451030,55531720,9422500
Slasher II Interceptor,281352105,249171824,233081684,34672500
Breacher Assault,45099875,39819891,37179900,8672000
Hound,20434064,18042856,16847252,6653500
Hound II,103186526,91428322,85549221,22806000
Probe Covert Ops,4903388,4329603,4042711,2371500
Crucifier,529590,485645,463672,1538000
Inquisitor,4003533,3543062,3312827,2064000
Inquisitor II,19918321,17595878,16434657,7125000
Executioner II,533396,488943,466716,1555500
Executioner Interceptor,64948550,57488743,53758840,9721500
Executioner II Interceptor,264984856,234320209,218987885,33807000
Punisher Assault,45831620,40520737,37865296,9559500
Purifier,19102899,16889179,15782320,6790500
Purifier II,108441196,95982370,89752957,23307000
Magnate Covert Ops,4427541,3917202,3662033,2288000
Maulus,499998,459998,439998,1489000
Navitas,4018487,3556022,3324789,2151000
Navitas II,18833519,16655717,15566815,6859500
Atron II,499998,459998,439998,1489000
Atron Interceptor,62822262,55645960,52057809,9629500
Atron II Interceptor,234559210,207951315,194647368,33566000
Incursus Assault,41931118,37073636,34644894,8987000
Nemesis,19273792,17037287,15919034,7044500
Nemesis II,111599879,98719895,92279903,23484000
Imicus Covert Ops,4739323,4194080,3921459,2536000
Worm,454972999,401643266,374978399,49511000
Dramiel,501066994,441591395,411853595,49574500
Cruor,443932780,392075076,366146224,47378000
Astero,506935995,446677862,416548796,50227000
Garmur,444319205,392409978,366455364,48192000
Succubus,451488015,398622946,372190412,48298500
Daredevil,449316678,396741121,370453342,49281500
Cormorant Guardian,6613837,5845325,5461069,3447000
Corax,793777,727940,695022,2396000
Cormorant II,725486,662088,630389,2307000
Cormorant Navy Issue,6556385,5795533,5415108,3411500
Corax Assault,65801877,58161627,54341502,13837500
Corax Sniper,28170824,24881381,23236659,10116000
Cormorant Covert Ops,410694059,363268184,339555247,50906000
Thrasher Guardian,7482034,6604430,6165627,3626000
Talwar,695109,635761,606087,2329000
Thrasher II,716155,654001,622924,2438500
Thrasher Fleet Issue,7753534,6846396,6392827,3747500
Talwar Assault,61899716,54646421,51019773,11745500
Talwar Sniper,30605981,26991851,25184785,9917500
Thrasher Covert Ops,414248013,366348278,342398411,50882500
Coercer Guardian,6799236,6012671,5619389,3526500
Dragoon,719774,657137,625819,2190500
Coercer II,731126,666976,634901,2244000
Coercer Navy Issue,6770125,5987442,5596100,3509000
Dragoon Assault,66378506,58661372,54802805,13694000
Dragoon Sniper,29812901,26304514,24550321,10614500
Coercer Covert Ops,396678664,351121509,328342931,49519500
Catalyst Guardian,6546417,5786895,5407134,3531500
Algos,734316,669741,637453,2403500
Catalyst II,705421,644698,614337,2259000
Catalyst Navy Issue,6623944,5860751,5479155,3549000
Algos Assault,63922583,56532906,52838067,13479000
Algos Sniper,30014437,26479178,24711549,10981500
Catalyst Covert Ops,355918907,315129720,294735126,50731000
Moa Guardian,134963771,119635268,111971017,28157500
Moa II Guardian,201002532,178202195,166802026,30337000
Blackbird,55765202,49196508,45912161,20484000
Osprey,131834342,116923096,109467473,27391000
Caracal,14045803,12439696,11636643,7202000
Moa,56208702,49580875,46266962,20667000
Caracal Navy Issue,57594575,50848632,47475660,21035500
Caracal Sniper,192599872,170919889,160079897,28847000
Blackbird Covert Ops,133159052,118071178,110527241,27715500
Blackbird II Covert Ops,331772863,293536482,274418291,74400000
Rupture Guardian,138797222,122957592,115037777,26014500
Rupture II Guardian,217283274,192312171,179826619,30015000
Bellicose,63748466,56182004,52398773,21051500
Scythe,145198733,128505569,120158986,27416000
Stabber,14815043,13106371,12252035,7058500
Stabber Fleet Issue,66377480,58527149,54601984,21841000
Rupture,60710775,53482671,49868620,20110000
Stabber Sniper,213642454,189156793,176913963,29432000
Bellicose Covert Ops,143198406,126771952,118558725,26979000
Bellicose II Covert Ops,314883905,278899384,260907124,69795500
Maller Guardian,132148233,117195135,109718586,26912500
Maller II Guardian,185428363,164037914,153342690,27873500
Arbitrator,57327789,50617417,47262231,20583000
Augoror,139366818,123451242,115493454,28644500
Omen,14400919,12747463,11920735,7412000
Maller,58514117,51645568,48211293,21068000
Omen Navy Issue,58514117,51645568,48211293,21068000
Omen Sniper,198012332,175610687,164409865,29191500
Arbitrator Covert Ops,130528665,115791509,108422932,26524000
Arbitrator II Covert Ops,338110669,299029246,279488535,73109000
Thorax Guardian,132993525,117927722,110394820,27870500
Thorax II Guardian,181555881,160681764,150244705,28008500
Celestis,58124749,51308115,47899799,21469500
Exequror,132276272,117306103,109821018,27693000
Vexor,13279439,11775514,11023551,6992000
Vexor Navy Issue,55426752,48903185,45641401,20546000
